Record_ID,Month,Product_Name,Category,Original_Price_USD,Discount_Percent,Effective_Price_USD,Ad_Expenditure_USD,Customer_Visits,Units_Sold,Total_Sales_USD,Gross_Profit_USD,Net_Profit_USD
1031,2025-10,Air Purifier Pro,Home Appliances,226.82,20,181.46,22961.15,45343,3179,576861.34,194822.05,171860.9
1032,2025-08,UltraClean Robot Vacuum,Home Appliances,459.09,15,390.23,22415.13,38360,2727,1064157.21,496285.17,473870.04
1033,2025-10,Stainless Steel Air Fryer,Kitchen,130.55,5,124.02,15384.58,20953,512,63498.24,27921.13,12536.55
1034,2025-11,Portable Bluetooth Speaker,Audio,85.68,10,77.11,19594.85,30646,849,65466.39,28867.15,9272.3
1035,2025-07,Smart Fitness Watch,Wearables,191.8,0,191.8,24284.12,53808,1208,231694.4,118191.46,93907.34
1036,2025-12,Smart Fitness Watch,Wearables,203.86,5,193.67,5831.84,10501,271,52484.57,22567.65,16735.81
1037,2026-02,Wireless Noise-Canceling Headphones,Electronics,239.85,0,239.85,23463.43,49286,2513,602743.05,291901.75,268438.32
1038,2025-06,4K OLED Smart TV,Electronics,1227.6,0,1227.6,14801.87,22645,577,708325.2,382909.48,368107.61
1039,2025-05,Ergonomic Desk Chair,Furniture,319.17,0,319.17,13052.97,25290,768,245122.56,124182.73,111129.76
1040,2025-10,Air Purifier Pro,Home Appliances,222.55,10,200.3,2564.64,6355,544,108963.2,46508.34,43943.7
1041,2025-08,Ergonomic Desk Chair,Furniture,334.2,25,250.65,21879.17,47530,4852,1216153.8,376656.07,354776.9
1042,2025-12,Smart Fitness Watch,Wearables,191.61,20,153.29,20785.03,44105,2000,306580.0,123632.26,102847.23
1043,2026-01,Wireless Noise-Canceling Headphones,Electronics,239.86,15,203.88,3172.93,7653,703,143327.64,67055.51,63882.58
1044,2025-03,Wireless Noise-Canceling Headphones,Electronics,244.55,0,244.55,17873.32,38242,2608,637786.4,332794.74,314921.42
1045,2025-05,Gaming Laptop Pro,Computers,1486.34,20,1189.07,24776.87,45313,2684,3191463.88,1086525.17,1061748.3
1046,2025-07,Espresso Coffee Machine,Kitchen,573.69,20,458.95,11581.36,26998,2802,1285977.9,481393.9,469812.54
1047,2025-06,Stainless Steel Air Fryer,Kitchen,127.37,0,127.37,2756.9,8874,628,79988.36,41154.77,38397.87
1048,2025-03,Ergonomic Desk Chair,Furniture,319.78,0,319.78,3655.05,8528,654,209136.12,98685.14,95030.09
1049,2026-01,Air Purifier Pro,Home Appliances,229.48,25,172.11,24904.38,33828,3258,560734.38,183478.59,158574.21
1050,2026-03,Wireless Noise-Canceling Headphones,Electronics,241.07,15,204.91,16028.12,23463,743,152248.13,56925.63,40897.51
1051,2025-02,Gaming Laptop Pro,Computers,1389.3,0,1389.3,24686.03,43380,1832,2545197.6,1192985.13,1168299.1
1052,2025-09,Air Purifier Pro,Home Appliances,222.02,5,210.92,18142.26,35869,1377,290436.84,142765.62,124623.36
1053,2026-01,Smart Fitness Watch,Wearables,189.28,10,170.35,2823.13,5384,174,29640.9,12682.12,9858.99
1054,2025-03,UltraClean Robot Vacuum,Home Appliances,453.75,25,340.31,10309.46,18028,2103,715671.93,285105.79,274796.33
1055,2025-06,4K OLED Smart TV,Electronics,1250.96,25,938.22,7445.27,17893,658,617348.76,233257.79,225812.52
1056,2026-02,UltraClean Robot Vacuum,Home Appliances,440.75,25,330.56,17877.74,32566,3786,1251500.16,490938.76,473061.02
1057,2025-12,Portable Bluetooth Speaker,Audio,85.5,5,81.22,5487.48,13304,633,51412.26,25816.07,20328.59
1058,2025-09,4K OLED Smart TV,Electronics,1171.19,10,1054.07,2259.42,6396,278,293031.46,142179.21,139919.79
1059,2026-01,Smart Fitness Watch,Wearables,207.77,10,186.99,15157.32,37554,1125,210363.75,84688.99,69531.67
1060,2025-07,4K OLED Smart TV,Electronics,1189.35,15,1010.95,12788.7,34413,1949,1970341.55,735018.29,722229.59
1061,2026-01,UltraClean Robot Vacuum,Home Appliances,430.36,0,430.36,4645.52,7318,179,77034.44,37040.36,32394.84
1062,2026-03,4K OLED Smart TV,Electronics,1229.99,25,922.49,15251.01,34375,1777,1639264.73,610886.63,595635.62
1063,2025-03,UltraClean Robot Vacuum,Home Appliances,439.86,5,417.87,22138.19,51029,1280,534873.6,266387.42,244249.23
1064,2025-10,Air Purifier Pro,Home Appliances,219.96,10,197.96,21037.23,35380,1920,380083.2,156899.4,135862.17
1065,2025-11,Wireless Noise-Canceling Headphones,Electronics,242.82,0,242.82,1841.8,6319,350,84987.0,43409.29,41567.49
1066,2026-03,Smart Fitness Watch,Wearables,203.51,10,183.16,12096.4,30943,2296,420535.36,173052.97,160956.57
1067,2025-08,Gaming Laptop Pro,Computers,1499.6,15,1274.66,3056.55,4908,365,465250.9,199925.79,196869.24
1068,2026-03,Smart Fitness Watch,Wearables,191.61,0,191.61,5069.71,8447,344,65913.84,30341.54,25271.83
1069,2025-11,Smart Fitness Watch,Wearables,202.33,0,202.33,6018.79,9786,294,59485.02,31059.57,25040.78
1070,2025-05,Portable Bluetooth Speaker,Audio,89.43,10,80.49,9865.8,25120,1184,95300.16,46674.64,36808.84
1071,2025-06,Stainless Steel Air Fryer,Kitchen,124.56,20,99.65,23140.5,31196,1599,159340.35,53655.98,30515.48
1072,2025-03,UltraClean Robot Vacuum,Home Appliances,435.8,5,414.01,10206.09,19918,1046,433054.46,193850.18,183644.09
1073,2025-03,Espresso Coffee Machine,Kitchen,561.73,20,449.38,13524.42,28268,1045,469602.1,179185.11,165660.69
1074,2025-03,Smart Fitness Watch,Wearables,193.88,5,184.19,10366.18,14179,618,113829.42,58476.43,48110.25
1075,2026-01,UltraClean Robot Vacuum,Home Appliances,454.21,15,386.08,20045.52,38716,1269,489935.52,199600.48,179554.96
1076,2026-03,Wireless Noise-Canceling Headphones,Electronics,256.14,10,230.53,4498.14,9755,635,146386.55,67402.67,62904.53
1077,2025-05,Portable Bluetooth Speaker,Audio,92.86,0,92.86,6795.32,12727,627,58223.22,27069.04,20273.72
1078,2025-07,Espresso Coffee Machine,Kitchen,568.83,0,568.83,1928.7,6460,131,74516.73,33718.32,31789.62
1079,2025-06,Espresso Coffee Machine,Kitchen,559.28,25,419.46,14583.93,30410,1678,703853.88,209326.81,194742.88
1080,2025-10,Portable Bluetooth Speaker,Audio,87.43,10,78.69,13428.84,22476,1006,79162.14,34470.32,21041.48
1081,2026-01,Ergonomic Desk Chair,Furniture,321.04,0,321.04,9410.2,14484,344,110437.76,49807.87,40397.67
1082,2025-02,Espresso Coffee Machine,Kitchen,527.33,0,527.33,1563.71,5308,359,189311.47,102101.37,100537.66
1083,2026-02,4K OLED Smart TV,Electronics,1229.52,10,1106.57,23424.04,59981,2324,2571668.68,1177475.72,1154051.68
1084,2025-08,UltraClean Robot Vacuum,Home Appliances,459.97,0,459.97,19865.59,47601,3308,1521580.76,808506.39,788640.8
1085,2025-11,Smart Fitness Watch,Wearables,201.66,25,151.24,8930.62,19865,1817,274803.08,93355.65,84425.03
1086,2026-02,Espresso Coffee Machine,Kitchen,571.98,10,514.78,14184.85,26181,1366,703189.48,310038.04,295853.19
1087,2025-08,4K OLED Smart TV,Electronics,1167.48,10,1050.73,11640.91,21504,1647,1730552.31,731883.74,720242.83
1088,2026-03,Ergonomic Desk Chair,Furniture,332.12,10,298.91,18924.33,39294,1347,402631.77,192166.61,173242.28
1089,2025-10,Wireless Noise-Canceling Headphones,Electronics,249.85,15,212.37,3918.53,9795,544,115529.28,48154.53,44236.0
1090,2025-08,Ergonomic Desk Chair,Furniture,320.07,10,288.06,12929.4,25054,1893,545297.58,236351.21,223421.81
1091,2025-11,Ergonomic Desk Chair,Furniture,334.69,5,317.96,6842.75,14979,614,195227.44,90115.39,83272.64
1092,2026-01,Gaming Laptop Pro,Computers,1397.67,0,1397.67,7516.36,17676,1327,1854708.09,873551.81,866035.45
1093,2025-08,4K OLED Smart TV,Electronics,1218.16,15,1035.44,10299.23,15384,492,509436.48,233487.97,223188.74
1094,2025-06,Stainless Steel Air Fryer,Kitchen,135.34,0,135.34,7043.79,12177,486,65775.24,34127.85,27084.06
1095,2025-08,Smart Fitness Watch,Wearables,201.15,5,191.09,18989.87,29668,2195,419442.55,194100.87,175111.0
1096,2026-03,Smart Fitness Watch,Wearables,197.3,20,157.84,23189.57,44286,3423,540286.32,234156.94,210967.37
1097,2025-06,Smart Fitness Watch,Wearables,192.56,10,173.3,11344.75,29086,1456,252324.8,109881.69,98536.94
1098,2025-10,Portable Bluetooth Speaker,Audio,84.67,15,71.97,5683.85,15787,515,37064.55,13095.4,7411.55
1099,2025-07,UltraClean Robot Vacuum,Home Appliances,454.29,0,454.29,19124.07,29614,2187,993532.23,526061.44,506937.37
1100,2026-01,UltraClean Robot Vacuum,Home Appliances,444.5,20,355.6,15305.16,26334,1919,682396.4,257511.84,242206.68
1101,2025-03,Portable Bluetooth Speaker,Audio,85.93,0,85.93,21751.96,55765,2364,203138.52,106226.32,84474.36
1102,2025-12,Wireless Noise-Canceling Headphones,Electronics,257.52,25,193.14,21235.04,52026,2749,530941.86,198493.46,177258.42
1103,2025-06,Espresso Coffee Machine,Kitchen,541.16,10,487.04,22355.32,43918,3333,1623304.32,666391.94,644036.62
1104,2026-02,Espresso Coffee Machine,Kitchen,555.68,20,444.54,24122.26,60424,3336,1482985.44,632684.91,608562.65
1105,2025-07,Gaming Laptop Pro,Computers,1484.21,20,1187.37,4385.26,11730,961,1141062.57,398810.3,394425.04
1106,2026-03,UltraClean Robot Vacuum,Home Appliances,455.61,5,432.83,20890.02,37520,1723,745766.09,324913.66,304023.64
1107,2025-04,Smart Fitness Watch,Wearables,208.44,15,177.17,4184.59,9764,1004,177878.68,73847.32,69662.73
1108,2025-02,UltraClean Robot Vacuum,Home Appliances,428.51,5,407.08,14228.4,30480,2350,956638.0,404359.52,390131.12
1109,2026-01,Gaming Laptop Pro,Computers,1402.39,5,1332.27,1932.18,6406,190,253131.3,117865.44,115933.26
1110,2025-02,Portable Bluetooth Speaker,Audio,89.48,15,76.06,20998.93,33643,2619,199201.14,89634.69,68635.76
1111,2025-10,UltraClean Robot Vacuum,Home Appliances,445.7,15,378.84,11417.85,21739,2190,829659.6,372426.12,361008.27
1112,2025-04,4K OLED Smart TV,Electronics,1232.52,0,1232.52,21171.36,39553,2239,2759612.28,1255814.88,1234643.52
1113,2026-03,Air Purifier Pro,Home Appliances,229.99,0,229.99,12868.24,22173,1161,267018.39,142534.05,129665.81
1114,2025-11,Ergonomic Desk Chair,Furniture,331.09,25,248.32,5134.8,11262,694,172334.08,59449.65,54314.85
1115,2025-10,Espresso Coffee Machine,Kitchen,547.78,0,547.78,3327.49,5827,454,248692.12,136650.01,133322.52
1116,2025-05,Smart Fitness Watch,Wearables,190.87,25,143.15,4715.24,12823,1010,144581.5,41002.55,36287.31
1117,2026-03,Espresso Coffee Machine,Kitchen,566.86,15,481.83,17768.5,42824,1947,938123.01,387451.94,369683.44
1118,2025-09,Gaming Laptop Pro,Computers,1514.39,0,1514.39,18081.02,45581,3415,5171641.85,2826847.37,2808766.35
1119,2025-07,4K OLED Smart TV,Electronics,1175.68,25,881.76,24319.87,60399,4389,3870044.64,1103198.72,1078878.85
1120,2025-03,Air Purifier Pro,Home Appliances,216.02,20,172.82,2369.68,6463,222,38366.04,13446.49,11076.81
1121,2025-10,Espresso Coffee Machine,Kitchen,562.36,0,562.36,8909.32,18785,1266,711947.76,368877.75,359968.43
1122,2025-01,Wireless Noise-Canceling Headphones,Electronics,259.65,10,233.68,6974.55,10631,973,227370.64,93502.47,86527.92
1123,2026-02,Air Purifier Pro,Home Appliances,216.72,15,184.21,10945.38,22495,1685,310393.85,114161.56,103216.18
1124,2025-10,Stainless Steel Air Fryer,Kitchen,124.69,5,118.46,13779.2,31647,1316,155893.36,68057.81,54278.61
1125,2026-02,Wireless Noise-Canceling Headphones,Electronics,252.23,5,239.62,22892.97,30746,898,215178.76,104382.09,81489.12
1126,2025-12,Ergonomic Desk Chair,Furniture,334.61,15,284.42,7586.09,17323,1786,507974.12,194624.3,187038.21
1127,2025-11,Ergonomic Desk Chair,Furniture,316.85,20,253.48,6918.38,17876,681,172619.88,74508.23,67589.85
1128,2025-10,Stainless Steel Air Fryer,Kitchen,123.98,25,92.98,20915.83,48247,3697,343747.06,110111.43,89195.6
1129,2026-01,UltraClean Robot Vacuum,Home Appliances,439.21,10,395.29,13042.88,34830,3086,1219864.94,547127.29,534084.41
1130,2026-01,Espresso Coffee Machine,Kitchen,552.03,10,496.83,15132.03,21776,725,360201.75,144532.33,129400.3
1131,2025-02,Stainless Steel Air Fryer,Kitchen,134.71,20,107.77,16898.19,34670,1224,131910.48,50977.43,34079.24
1132,2025-08,Portable Bluetooth Speaker,Audio,90.74,0,90.74,14016.16,36371,2705,245451.7,120975.31,106959.15
1133,2025-02,Espresso Coffee Machine,Kitchen,552.41,20,441.93,18746.88,37715,3806,1681985.58,684302.37,665555.49
1134,2026-01,Stainless Steel Air Fryer,Kitchen,134.38,15,114.22,17483.31,36715,3477,397142.94,146149.32,128666.01
1135,2026-03,Smart Fitness Watch,Wearables,205.48,0,205.48,9375.29,22552,668,137260.64,64265.88,54890.59
1136,2025-02,Air Purifier Pro,Home Appliances,215.31,10,193.78,24557.88,52016,3270,633660.6,261925.85,237367.97
1137,2025-03,Portable Bluetooth Speaker,Audio,91.32,10,82.19,24130.31,41005,2851,234323.69,92899.03,68768.72
1138,2025-04,Portable Bluetooth Speaker,Audio,86.1,15,73.18,23761.5,36029,2267,165899.06,76933.6,53172.1
1139,2025-11,Espresso Coffee Machine,Kitchen,569.38,25,427.04,17387.23,33433,2951,1260195.04,404214.08,386826.85
1140,2026-01,Air Purifier Pro,Home Appliances,209.49,5,199.02,12983.11,30305,1213,241411.26,101723.08,88739.97
1141,2025-03,UltraClean Robot Vacuum,Home Appliances,447.81,0,447.81,20178.02,45350,1507,674849.67,365607.84,345429.82
1142,2025-06,Ergonomic Desk Chair,Furniture,308.2,20,246.56,24136.06,32160,3216,792936.96,251309.43,227173.37
1143,2025-09,Smart Fitness Watch,Wearables,197.85,5,187.96,9037.45,21477,1529,287390.84,145199.03,136161.58
1144,2025-09,UltraClean Robot Vacuum,Home Appliances,459.67,10,413.7,12581.01,25772,787,325581.9,157231.03,144650.02
1145,2025-04,Wireless Noise-Canceling Headphones,Electronics,237.95,15,202.26,8412.95,21827,2214,447803.64,200963.69,192550.74
1146,2026-02,Stainless Steel Air Fryer,Kitchen,125.03,0,125.03,17610.78,32964,786,98273.58,48331.23,30720.45
1147,2025-02,4K OLED Smart TV,Electronics,1235.71,5,1173.92,12197.67,16106,431,505959.52,245389.71,233192.04
1148,2025-11,Portable Bluetooth Speaker,Audio,90.74,20,72.59,19826.5,26329,1272,92334.48,29006.72,9180.22
1149,2025-06,Portable Bluetooth Speaker,Audio,86.42,5,82.1,19731.41,49797,1333,109439.3,51445.91,31714.5
