"Row ID","Order ID","Order Date","Region","Customer ID","Segment","Category","Sub-Category","Product Name","Sales","Advertising Expenditure","Customer Visits","Product Price","Quantity","Discount","Profit"
"36","ORD-2025-0036","2025-04-06","Southwest","CUST-1012","Consumer","Furniture","Tables","Adjustable Work Table","330.30","55.29","54","448.54","1","0.05","44.24"
"37","ORD-2025-0037","2025-05-10","West","CUST-1029","Home Office","Office Supplies","Paper","Multipurpose Copy Paper","92.88","34.36","51","18.33","4","0.15","-3.33"
"38","ORD-2025-0038","2025-05-13","East","CUST-1046","Consumer","Technology","Phones","Business Smartphone","1642.21","163.26","76","560.35","3","0.20","194.09"
"39","ORD-2025-0039","2025-05-16","Central","CUST-1063","Corporate","Technology","Machines","Desktop Printer","848.82","70.84","81","388.03","2","0.00","215.00"
"40","ORD-2025-0040","2025-05-19","South","CUST-1080","Home Office","Furniture","Tables","Adjustable Work Table","1393.86","138.97","52","416.41","3","0.00","262.18"
"41","ORD-2025-0041","2025-05-22","North","CUST-1097","Consumer","Office Supplies","Binders","Premium Ring Binder","64.50","35.59","54","27.26","3","0.20","-8.16"
"42","ORD-2025-0042","2025-05-25","Northeast","CUST-1114","Corporate","Office Supplies","Storage","Stackable Storage Box","46.23","32.55","50","45.70","1","0.00","-2.09"
"43","ORD-2025-0043","2025-05-02","Northwest","CUST-1131","Home Office","Technology","Accessories","Wireless Keyboard","154.58","40.98","51","84.18","2","0.05","25.14"
"44","ORD-2025-0044","2025-05-05","Southeast","CUST-1148","Consumer","Furniture","Chairs","Ergonomic Office Chair","252.57","51.57","50","330.21","1","0.20","6.23"
"45","ORD-2025-0045","2025-05-08","Southwest","CUST-1165","Corporate","Furniture","Bookcases","Wooden Storage Bookcase","377.97","58.65","75","264.67","2","0.20","15.25"
"46","ORD-2025-0046","2025-06-12","West","CUST-1182","Consumer","Office Supplies","Storage","Stackable Storage Box","503.41","53.20","111","43.08","9","0.15","24.51"
"47","ORD-2025-0047","2025-06-15","East","CUST-1199","Corporate","Technology","Accessories","Wireless Keyboard","95.28","36.41","28","72.14","1","0.05","11.93"
"48","ORD-2025-0048","2025-06-18","Central","CUST-1216","Home Office","Furniture","Chairs","Ergonomic Office Chair","1021.43","112.22","67","330.96","3","0.20","56.02"
"49","ORD-2025-0049","2025-06-21","South","CUST-1233","Consumer","Furniture","Bookcases","Wooden Storage Bookcase","925.29","80.07","78","274.82","3","0.05","147.87"
"50","ORD-2025-0050","2025-06-24","North","CUST-1250","Corporate","Office Supplies","Paper","Multipurpose Copy Paper","38.71","33.07","86","18.68","2","0.05","-4.87"
"51","ORD-2025-0051","2025-06-27","Northeast","CUST-1267","Home Office","Technology","Phones","Business Smartphone","2194.80","190.09","102","602.23","4","0.15","339.72"
"52","ORD-2025-0052","2025-06-04","Northwest","CUST-1284","Consumer","Technology","Machines","Desktop Printer","1144.57","112.33","76","389.22","4","0.20","135.74"
"53","ORD-2025-0053","2025-06-07","Southeast","CUST-1001","Corporate","Furniture","Tables","Adjustable Work Table","972.81","85.70","96","434.65","3","0.15","91.75"
"54","ORD-2025-0054","2025-06-10","Southwest","CUST-1018","Home Office","Office Supplies","Binders","Premium Ring Binder","195.39","40.47","111","26.58","9","0.00","22.22"
"55","ORD-2025-0055","2025-07-14","West","CUST-1035","Corporate","Technology","Phones","Business Smartphone","2471.39","172.03","53","575.31","3","0.05","556.62"
"56","ORD-2025-0056","2025-07-17","East","CUST-1052","Home Office","Technology","Machines","Desktop Printer","1547.38","151.75","62","414.16","3","0.00","384.71"
"57","ORD-2025-0057","2025-07-20","Central","CUST-1069","Consumer","Furniture","Tables","Adjustable Work Table","1586.81","146.48","101","391.24","4","0.15","147.51"
"58","ORD-2025-0058","2025-07-23","South","CUST-1086","Corporate","Office Supplies","Binders","Premium Ring Binder","284.67","49.89","134","30.15","9","0.10","16.77"
"59","ORD-2025-0059","2025-07-26","North","CUST-1103","Home Office","Office Supplies","Storage","Stackable Storage Box","183.10","44.35","70","44.66","5","0.20","-5.04"
"60","ORD-2025-0060","2025-07-03","Northeast","CUST-1120","Consumer","Technology","Accessories","Wireless Keyboard","217.49","43.33","59","80.56","3","0.05","39.96"
"61","ORD-2025-0061","2025-07-06","Northwest","CUST-1137","Corporate","Furniture","Chairs","Ergonomic Office Chair","659.24","69.19","49","343.33","2","0.00","122.89"
"62","ORD-2025-0062","2025-07-09","Southeast","CUST-1154","Home Office","Furniture","Bookcases","Wooden Storage Bookcase","261.31","50.04","45","279.31","1","0.05","32.98"
"63","ORD-2025-0063","2025-07-12","Southwest","CUST-1171","Consumer","Office Supplies","Paper","Multipurpose Copy Paper","102.63","34.70","118","19.09","7","0.15","-2.64"
"64","ORD-2025-0064","2025-08-16","West","CUST-1188","Home Office","Technology","Accessories","Wireless Keyboard","452.81","61.45","48","74.27","4","0.05","92.41"
"65","ORD-2025-0065","2025-08-19","East","CUST-1205","Consumer","Furniture","Chairs","Ergonomic Office Chair","1369.82","113.77","62","314.21","4","0.15","131.40"
"66","ORD-2025-0066","2025-08-22","Central","CUST-1222","Corporate","Furniture","Bookcases","Wooden Storage Bookcase","1482.29","100.13","56","286.47","4","0.00","294.06"
"67","ORD-2025-0067","2025-08-25","South","CUST-1239","Home Office","Office Supplies","Paper","Multipurpose Copy Paper","150.50","42.94","127","16.87","8","0.05","8.46"
"68","ORD-2025-0068","2025-08-02","North","CUST-1256","Consumer","Technology","Phones","Business Smartphone","2034.08","164.53","64","587.48","4","0.20","252.46"
"69","ORD-2025-0069","2025-08-05","Northeast","CUST-1273","Corporate","Technology","Machines","Desktop Printer","703.14","84.35","96","401.23","2","0.15","101.33"
"70","ORD-2025-0070","2025-08-08","Northwest","CUST-1290","Home Office","Furniture","Tables","Adjustable Work Table","1181.65","99.05","69","440.24","3","0.15","113.06"
"71","ORD-2025-0071","2025-08-11","Southeast","CUST-1007","Consumer","Office Supplies","Binders","Premium Ring Binder","175.65","41.21","91","26.25","7","0.00","18.43"
"72","ORD-2025-0072","2025-08-14","Southwest","CUST-1024","Corporate","Office Supplies","Storage","Stackable Storage Box","181.81","40.59","104","44.31","6","0.20","-3.90"
"73","ORD-2025-0073","2025-09-18","West","CUST-1041","Consumer","Technology","Machines","Desktop Printer","558.66","70.80","46","372.01","1","0.00","133.77"
"74","ORD-2025-0074","2025-09-21","East","CUST-1058","Corporate","Furniture","Tables","Adjustable Work Table","1250.14","86.76","85","392.63","3","0.20","84.75"
"75","ORD-2025-0075","2025-09-24","Central","CUST-1075","Home Office","Office Supplies","Binders","Premium Ring Binder","217.76","43.98","97","27.90","8","0.20","-3.19"
"76","ORD-2025-0076","2025-09-27","South","CUST-1092","Consumer","Office Supplies","Storage","Stackable Storage Box","334.23","58.03","115","48.71","6","0.05","30.73"
"77","ORD-2025-0077","2025-09-04","North","CUST-1109","Corporate","Technology","Accessories","Wireless Keyboard","186.11","39.70","92","77.31","2","0.00","39.41"
"78","ORD-2025-0078","2025-09-07","Northeast","CUST-1126","Home Office","Furniture","Chairs","Ergonomic Office Chair","1470.46","160.86","62","342.08","4","0.00","272.03"
"79","ORD-2025-0079","2025-09-10","Northwest","CUST-1143","Consumer","Furniture","Bookcases","Wooden Storage Bookcase","808.61","92.91","78","296.14","3","0.10","95.60"
"80","ORD-2025-0080","2025-09-13","Southeast","CUST-1160","Corporate","Office Supplies","Paper","Multipurpose Copy Paper","164.62","39.25","99","18.51","9","0.00","17.07"
"81","ORD-2025-0081","2025-09-16","Southwest","CUST-1177","Home Office","Technology","Phones","Business Smartphone","839.50","74.88","75","565.61","2","0.20","101.96"
"82","ORD-2025-0082","2025-10-20","West","CUST-1194","Corporate","Furniture","Chairs","Ergonomic Office Chair","475.12","60.29","63","319.51","1","0.10","54.35"
"83","ORD-2025-0083","2025-10-23","East","CUST-1211","Home Office","Furniture","Bookcases","Wooden Storage Bookcase","1333.13","110.91","71","289.05","3","0.00","257.80"
"84","ORD-2025-0084","2025-10-26","Central","CUST-1228","Consumer","Office Supplies","Paper","Multipurpose Copy Paper","152.04","37.43","71","19.15","6","0.05","10.45"
"85","ORD-2025-0085","2025-10-03","South","CUST-1245","Corporate","Technology","Phones","Business Smartphone","1926.01","167.53","58","595.64","3","0.10","360.48"
"86","ORD-2025-0086","2025-10-06","North","CUST-1262","Home Office","Technology","Machines","Desktop Printer","925.40","111.36","89","391.95","2","0.00","223.48"
"87","ORD-2025-0087","2025-10-09","Northeast","CUST-1279","Consumer","Furniture","Tables","Adjustable Work Table","1356.27","101.99","71","416.59","3","0.05","221.66"
"88","ORD-2025-0088","2025-10-12","Northwest","CUST-1296","Corporate","Office Supplies","Binders","Premium Ring Binder","28.43","32.21","59","26.98","1","0.00","-5.19"
"89","ORD-2025-0089","2025-10-15","Southeast","CUST-1013","Home Office","Office Supplies","Storage","Stackable Storage Box","198.55","45.96","119","44.37","6","0.20","-4.78"
"90","ORD-2025-0090","2025-10-18","Southwest","CUST-1030","Consumer","Technology","Accessories","Wireless Keyboard","63.81","34.14","63","82.01","1","0.10","2.79"
"91","ORD-2025-0091","2025-11-22","West","CUST-1047","Home Office","Furniture","Tables","Adjustable Work Table","1890.35","194.72","61","450.74","3","0.10","230.69"
"92","ORD-2025-0092","2025-11-25","East","CUST-1064","Consumer","Office Supplies","Binders","Premium Ring Binder","113.79","36.20","51","28.09","3","0.10","1.50"
"93","ORD-2025-0093","2025-11-02","Central","CUST-1081","Corporate","Office Supplies","Storage","Stackable Storage Box","388.68","58.53","91","49.26","6","0.00","51.23"
"94","ORD-2025-0094","2025-11-05","South","CUST-1098","Home Office","Technology","Accessories","Wireless Keyboard","212.11","45.13","72","73.86","3","0.20","17.37"
"95","ORD-2025-0095","2025-11-08","North","CUST-1115","Consumer","Furniture","Chairs","Ergonomic Office Chair","748.28","77.77","77","313.22","2","0.00","139.74"
"96","ORD-2025-0096","2025-11-11","Northeast","CUST-1132","Corporate","Furniture","Bookcases","Wooden Storage Bookcase","533.46","55.13","81","291.62","2","0.15","47.71"
"97","ORD-2025-0097","2025-11-14","Northwest","CUST-1149","Home Office","Office Supplies","Paper","Multipurpose Copy Paper","156.85","40.95","111","16.60","9","0.00","15.13"
"98","ORD-2025-0098","2025-11-17","Southeast","CUST-1166","Consumer","Technology","Phones","Business Smartphone","1565.29","126.36","81","574.76","3","0.10","296.10"
"99","ORD-2025-0099","2025-11-20","Southwest","CUST-1183","Corporate","Technology","Machines","Desktop Printer","1233.28","90.34","100","380.38","4","0.15","196.16"
"100","ORD-2025-0100","2025-12-24","West","CUST-1200","Consumer","Furniture","Bookcases","Wooden Storage Bookcase","463.07","67.38","80","282.41","1","0.00","80.31"
"101","ORD-2025-0101","2025-12-27","East","CUST-1217","Corporate","Office Supplies","Paper","Multipurpose Copy Paper","169.22","37.93","94","18.09","7","0.05","12.82"
"102","ORD-2025-0102","2025-12-04","Central","CUST-1234","Home Office","Technology","Phones","Business Smartphone","1440.37","115.01","52","532.09","2","0.00","366.50"
"103","ORD-2025-0103","2025-12-07","South","CUST-1251","Consumer","Technology","Machines","Desktop Printer","1338.19","147.54","87","412.94","3","0.20","153.52"
"104","ORD-2025-0104","2025-12-10","North","CUST-1268","Corporate","Furniture","Tables","Adjustable Work Table","1746.03","145.94","107","450.85","4","0.20","110.44"
"105","ORD-2025-0105","2025-12-13","Northeast","CUST-1285","Home Office","Office Supplies","Binders","Premium Ring Binder","81.49","35.35","72","26.05","3","0.10","-1.94"
"106","ORD-2025-0106","2025-12-16","Northwest","CUST-1002","Consumer","Office Supplies","Storage","Stackable Storage Box","130.43","38.97","93","44.73","3","0.10","2.53"
"107","ORD-2025-0107","2025-12-19","Southeast","CUST-1019","Corporate","Technology","Accessories","Wireless Keyboard","264.25","51.09","98","74.89","4","0.15","31.88"
"108","ORD-2025-0108","2025-12-22","Southwest","CUST-1036","Home Office","Furniture","Chairs","Ergonomic Office Chair","1065.94","116.04","83","327.20","4","0.15","93.44"
